date,area_name,healthcare_type,patients
2020-03-19,London,Patients in mechanical ventilation beds,NA
2020-03-19,London,Patients in Hospital,NA
2020-03-19,London,Patients admitted to Hospital,240
2020-03-19,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-19,Rest of England,Patients in Hospital,NA
2020-03-19,Rest of England,Patients admitted to Hospital,346
2020-03-20,London,Patients in mechanical ventilation beds,NA
2020-03-20,London,Patients in Hospital,841
2020-03-20,London,Patients admitted to Hospital,272
2020-03-20,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-20,Rest of England,Patients in Hospital,739
2020-03-20,Rest of England,Patients admitted to Hospital,419
2020-03-21,London,Patients in mechanical ventilation beds,NA
2020-03-21,London,Patients in Hospital,1081
2020-03-21,London,Patients admitted to Hospital,311
2020-03-21,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-21,Rest of England,Patients in Hospital,1071
2020-03-21,Rest of England,Patients admitted to Hospital,466
2020-03-22,London,Patients in mechanical ventilation beds,NA
2020-03-22,London,Patients in Hospital,1266
2020-03-22,London,Patients admitted to Hospital,335
2020-03-22,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-22,Rest of England,Patients in Hospital,1404
2020-03-22,Rest of England,Patients admitted to Hospital,524
2020-03-23,London,Patients in mechanical ventilation beds,NA
2020-03-23,London,Patients in Hospital,1559
2020-03-23,London,Patients admitted to Hospital,505
2020-03-23,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-23,Rest of England,Patients in Hospital,1624
2020-03-23,Rest of England,Patients admitted to Hospital,623
2020-03-24,London,Patients in mechanical ventilation beds,NA
2020-03-24,London,Patients in Hospital,1705
2020-03-24,London,Patients admitted to Hospital,637
2020-03-24,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-24,Rest of England,Patients in Hospital,1893
2020-03-24,Rest of England,Patients admitted to Hospital,907
2020-03-25,London,Patients in mechanical ventilation beds,NA
2020-03-25,London,Patients in Hospital,2051
2020-03-25,London,Patients admitted to Hospital,675
2020-03-25,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-25,Rest of England,Patients in Hospital,2351
2020-03-25,Rest of England,Patients admitted to Hospital,1080
2020-03-26,London,Patients in mechanical ventilation beds,NA
2020-03-26,London,Patients in Hospital,2244
2020-03-26,London,Patients admitted to Hospital,519
2020-03-26,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-26,Rest of England,Patients in Hospital,2982
2020-03-26,Rest of England,Patients admitted to Hospital,1120
2020-03-27,London,Patients in mechanical ventilation beds,NA
2020-03-27,London,Patients in Hospital,2829
2020-03-27,London,Patients admitted to Hospital,639
2020-03-27,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-27,Rest of England,Patients in Hospital,3633
2020-03-27,Rest of England,Patients admitted to Hospital,1292
2020-03-28,London,Patients in mechanical ventilation beds,NA
2020-03-28,London,Patients in Hospital,3114
2020-03-28,London,Patients admitted to Hospital,551
2020-03-28,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-28,Rest of England,Patients in Hospital,4155
2020-03-28,Rest of England,Patients admitted to Hospital,1322
2020-03-29,London,Patients in mechanical ventilation beds,NA
2020-03-29,London,Patients in Hospital,3464
2020-03-29,London,Patients admitted to Hospital,672
2020-03-29,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-29,Rest of England,Patients in Hospital,4960
2020-03-29,Rest of England,Patients admitted to Hospital,1514
2020-03-30,London,Patients in mechanical ventilation beds,NA
2020-03-30,London,Patients in Hospital,3638
2020-03-30,London,Patients admitted to Hospital,883
2020-03-30,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-30,Rest of England,Patients in Hospital,6214
2020-03-30,Rest of England,Patients admitted to Hospital,1934
2020-03-31,London,Patients in mechanical ventilation beds,NA
2020-03-31,London,Patients in Hospital,4073
2020-03-31,London,Patients admitted to Hospital,645
2020-03-31,Rest of England,Patients in mechanical ventilation beds,NA
2020-03-31,Rest of England,Patients in Hospital,7081
2020-03-31,Rest of England,Patients admitted to Hospital,1802
2020-04-01,London,Patients in mechanical ventilation beds,NA
2020-04-01,London,Patients in Hospital,4219
2020-04-01,London,Patients admitted to Hospital,767
2020-04-01,Rest of England,Patients in mechanical ventilation beds,NA
2020-04-01,Rest of England,Patients in Hospital,7840
2020-04-01,Rest of England,Patients admitted to Hospital,2332
2020-04-02,London,Patients in mechanical ventilation beds,673
2020-04-02,London,Patients in Hospital,4168
2020-04-02,London,Patients admitted to Hospital,835
2020-04-02,Rest of England,Patients in mechanical ventilation beds,821
2020-04-02,Rest of England,Patients in Hospital,7967
2020-04-02,Rest of England,Patients admitted to Hospital,2097
2020-04-03,London,Patients in mechanical ventilation beds,759
2020-04-03,London,Patients in Hospital,4092
2020-04-03,London,Patients admitted to Hospital,647
2020-04-03,Rest of England,Patients in mechanical ventilation beds,1029
2020-04-03,Rest of England,Patients in Hospital,9543
2020-04-03,Rest of England,Patients admitted to Hospital,1917
2020-04-04,London,Patients in mechanical ventilation beds,824
2020-04-04,London,Patients in Hospital,4691
2020-04-04,London,Patients admitted to Hospital,733
2020-04-04,Rest of England,Patients in mechanical ventilation beds,1126
2020-04-04,Rest of England,Patients in Hospital,10778
2020-04-04,Rest of England,Patients admitted to Hospital,1860
2020-04-05,London,Patients in mechanical ventilation beds,800
2020-04-05,London,Patients in Hospital,4869
2020-04-05,London,Patients admitted to Hospital,732
2020-04-05,Rest of England,Patients in mechanical ventilation beds,1297
2020-04-05,Rest of England,Patients in Hospital,11788
2020-04-05,Rest of England,Patients admitted to Hospital,1860
2020-04-06,London,Patients in mechanical ventilation beds,914
2020-04-06,London,Patients in Hospital,5058
2020-04-06,London,Patients admitted to Hospital,743
2020-04-06,Rest of England,Patients in mechanical ventilation beds,1350
2020-04-06,Rest of England,Patients in Hospital,12096
2020-04-06,Rest of England,Patients admitted to Hospital,1936
2020-04-07,London,Patients in mechanical ventilation beds,876
2020-04-07,London,Patients in Hospital,5025
2020-04-07,London,Patients admitted to Hospital,722
2020-04-07,Rest of England,Patients in mechanical ventilation beds,1596
2020-04-07,Rest of England,Patients in Hospital,12789
2020-04-07,Rest of England,Patients admitted to Hospital,2022
2020-04-08,London,Patients in mechanical ventilation beds,941
2020-04-08,London,Patients in Hospital,5198
2020-04-08,London,Patients admitted to Hospital,744
2020-04-08,Rest of England,Patients in mechanical ventilation beds,1620
2020-04-08,Rest of England,Patients in Hospital,12954
2020-04-08,Rest of England,Patients admitted to Hospital,1875
2020-04-09,London,Patients in mechanical ventilation beds,849
2020-04-09,London,Patients in Hospital,5201
2020-04-09,London,Patients admitted to Hospital,554
2020-04-09,Rest of England,Patients in mechanical ventilation beds,1697
2020-04-09,Rest of England,Patients in Hospital,13222
2020-04-09,Rest of England,Patients admitted to Hospital,1786
2020-04-10,London,Patients in mechanical ventilation beds,1057
2020-04-10,London,Patients in Hospital,5168
2020-04-10,London,Patients admitted to Hospital,531
2020-04-10,Rest of England,Patients in mechanical ventilation beds,1763
2020-04-10,Rest of England,Patients in Hospital,13501
2020-04-10,Rest of England,Patients admitted to Hospital,1665
2020-04-11,London,Patients in mechanical ventilation beds,1035
2020-04-11,London,Patients in Hospital,4910
2020-04-11,London,Patients admitted to Hospital,490
2020-04-11,Rest of England,Patients in mechanical ventilation beds,1830
2020-04-11,Rest of England,Patients in Hospital,13694
2020-04-11,Rest of England,Patients admitted to Hospital,1465
2020-04-12,London,Patients in mechanical ventilation beds,1035
2020-04-12,London,Patients in Hospital,4931
2020-04-12,London,Patients admitted to Hospital,384
2020-04-12,Rest of England,Patients in mechanical ventilation beds,1846
2020-04-12,Rest of England,Patients in Hospital,14043
2020-04-12,Rest of England,Patients admitted to Hospital,1407
2020-04-13,London,Patients in mechanical ventilation beds,1046
2020-04-13,London,Patients in Hospital,4799
2020-04-13,London,Patients admitted to Hospital,416
2020-04-13,Rest of England,Patients in mechanical ventilation beds,1826
2020-04-13,Rest of England,Patients in Hospital,13822
2020-04-13,Rest of England,Patients admitted to Hospital,1496
2020-04-14,London,Patients in mechanical ventilation beds,1026
2020-04-14,London,Patients in Hospital,4621
2020-04-14,London,Patients admitted to Hospital,447
2020-04-14,Rest of England,Patients in mechanical ventilation beds,1823
2020-04-14,Rest of England,Patients in Hospital,13931
2020-04-14,Rest of England,Patients admitted to Hospital,1412
2020-04-15,London,Patients in mechanical ventilation beds,1023
2020-04-15,London,Patients in Hospital,4509
2020-04-15,London,Patients admitted to Hospital,412
2020-04-15,Rest of England,Patients in mechanical ventilation beds,1824
2020-04-15,Rest of England,Patients in Hospital,13425
2020-04-15,Rest of England,Patients admitted to Hospital,1196
2020-04-16,London,Patients in mechanical ventilation beds,1012
2020-04-16,London,Patients in Hospital,4395
2020-04-16,London,Patients admitted to Hospital,388
2020-04-16,Rest of England,Patients in mechanical ventilation beds,1826
2020-04-16,Rest of England,Patients in Hospital,13388
2020-04-16,Rest of England,Patients admitted to Hospital,1389
2020-04-17,London,Patients in mechanical ventilation beds,982
2020-04-17,London,Patients in Hospital,4219
2020-04-17,London,Patients admitted to Hospital,358
2020-04-17,Rest of England,Patients in mechanical ventilation beds,1798
2020-04-17,Rest of England,Patients in Hospital,12509
2020-04-17,Rest of England,Patients admitted to Hospital,1316
2020-04-18,London,Patients in mechanical ventilation beds,992
2020-04-18,London,Patients in Hospital,3993
2020-04-18,London,Patients admitted to Hospital,283
2020-04-18,Rest of England,Patients in mechanical ventilation beds,1876
2020-04-18,Rest of England,Patients in Hospital,12857
2020-04-18,Rest of England,Patients admitted to Hospital,1128
2020-04-19,London,Patients in mechanical ventilation beds,991
2020-04-19,London,Patients in Hospital,4021
2020-04-19,London,Patients admitted to Hospital,290
2020-04-19,Rest of England,Patients in mechanical ventilation beds,1829
2020-04-19,Rest of England,Patients in Hospital,12907
2020-04-19,Rest of England,Patients admitted to Hospital,1185
2020-04-20,London,Patients in mechanical ventilation beds,1019
2020-04-20,London,Patients in Hospital,3940
2020-04-20,London,Patients admitted to Hospital,308
2020-04-20,Rest of England,Patients in mechanical ventilation beds,1761
2020-04-20,Rest of England,Patients in Hospital,12714
2020-04-20,Rest of England,Patients admitted to Hospital,1214
2020-04-21,London,Patients in mechanical ventilation beds,972
2020-04-21,London,Patients in Hospital,3922
2020-04-21,London,Patients admitted to Hospital,288
2020-04-21,Rest of England,Patients in mechanical ventilation beds,1729
2020-04-21,Rest of England,Patients in Hospital,12595
2020-04-21,Rest of England,Patients admitted to Hospital,1207
2020-04-22,London,Patients in mechanical ventilation beds,927
2020-04-22,London,Patients in Hospital,3768
2020-04-22,London,Patients admitted to Hospital,225
2020-04-22,Rest of England,Patients in mechanical ventilation beds,1719
2020-04-22,Rest of England,Patients in Hospital,12250
2020-04-22,Rest of England,Patients admitted to Hospital,1085
2020-04-23,London,Patients in mechanical ventilation beds,897
2020-04-23,London,Patients in Hospital,3510
2020-04-23,London,Patients admitted to Hospital,266
2020-04-23,Rest of England,Patients in mechanical ventilation beds,1666
2020-04-23,Rest of England,Patients in Hospital,11892
2020-04-23,Rest of England,Patients admitted to Hospital,1023
2020-04-24,London,Patients in mechanical ventilation beds,836
2020-04-24,London,Patients in Hospital,3281
2020-04-24,London,Patients admitted to Hospital,171
2020-04-24,Rest of England,Patients in mechanical ventilation beds,1578
2020-04-24,Rest of England,Patients in Hospital,11361
2020-04-24,Rest of England,Patients admitted to Hospital,1106
